player;team;no;corsi.plus;corsi.minus;corsi.plus.minus;cf.prevaha;rozdil.vs.tym;corsi.plus.game;corsi.minus.game;indiv.strely;jak.casto.strili
NELSON;USA;11;11;-2;9;84,6%;15,2%;11,0;2,0;1;9%
SCHNEEBERGER;SUI;32;23;-2;21;92,0%;11,0%;11,5;1,0;2;9%
SCHAPPI;SUI;19;18;-3;15;85,7%;9,2%;18,0;3,0;3;17%
LAJUNEN;FIN;24;4;-5;-1;44,4%;-19,0%;4,0;5,0;0;0%
Faksa;CZE;12;12;-6;6;66,7%;-3,0%;12,0;6,0;2;17%
RANTANEN;FIN;96;14;-6;8;70,0%;2,0%;14,0;6,0;2;14%
Zaťovič;CZE;26;6;-8;-2;42,9%;-18,1%;3,0;4,0;1;17%
KUZNETSOV;RUS;92;14;-10;4;58,3%;9,0%;14,0;10,0;3;21%
OVECHKIN;RUS;8;18;-10;8;64,3%;14,9%;18,0;10,0;3;17%
WIESER M;SUI;65;32;-10;22;76,2%;11,5%;10,7;3,3;5;16%
CONNOR;USA;18;27;-12;15;69,2%;9,7%;9,0;4,0;3;11%
HAAS;SUI;92;25;-12;13;67,6%;-0,2%;12,5;6,0;3;12%
ORLOV;RUS;81;7;-12;-5;36,8%;-12,5%;7,0;12,0;1;14%
ELLIS;CAN;6;20;-14;6;58,8%;-15,7%;20,0;14,0;2;10%
REINHART;CAN;23;48;-14;34;77,4%;14,4%;8,0;2,3;9;19%
HUTTON;CAN;10;23;-15;8;60,5%;15,8%;5,8;3,8;7;30%
WIESER D;SUI;56;22;-16;6;57,9%;-17,1%;7,3;5,3;5;23%
WALKER;SUI;95;24;-17;7;58,5%;-10,1%;8,0;5,7;6;25%
KIVISTO;FIN;4;33;-18;15;64,7%;-5,8%;16,5;9,0;5;15%
MARTSCHINI;SUI;93;19;-19;0;50,0%;-33,8%;6,3;6,3;5;26%
SANNIKOV;RUS;39;17;-19;-2;47,2%;-6,6%;8,5;9,5;4;24%
SHIROKOV;RUS;52;53;-19;34;73,6%;13,1%;10,6;3,8;12;23%
CEHLIN;SWE;7;28;-20;8;58,3%;0,8%;7,0;5,0;6;21%
PULKKINEN;FIN;56;56;-20;36;73,7%;7,8%;11,2;4,0;18;32%
ANDRIGHETTO;SUI;85;44;-21;23;67,7%;0,0%;14,7;7,0;13;30%
LUNDBERG;SWE;27;51;-21;30;70,8%;16,4%;10,2;4,2;10;20%
TRACHSLER;SUI;43;46;-21;25;68,7%;2,2%;15,3;7,0;6;13%
MOSER;SUI;82;67;-22;45;75,3%;7,0%;22,3;7,3;14;21%
NIEDERREITER;SUI;22;72;-22;50;76,6%;8,1%;24,0;7,3;17;24%
SALMELA;FIN;28;65;-22;43;74,7%;11,1%;13,0;4,4;15;23%
AMBUHL;SUI;10;49;-23;26;68,1%;2,5%;16,3;7,7;15;31%
NORMAN;SWE;37;47;-23;24;67,1%;13,4%;9,4;4,6;11;23%
PLOTNIKOV;RUS;16;56;-23;33;70,9%;7,7%;14,0;5,8;5;9%
SCHEIFELE;CAN;55;79;-23;56;77,5%;9,9%;15,8;4,6;16;20%
SKALICKY;SVK;28;21;-23;-2;47,7%;6,5%;7,0;7,7;4;19%
WEBER;SUI;6;60;-23;37;72,3%;8,0%;20,0;7,7;8;13%
GROSSMANN;SUI;77;43;-24;19;64,2%;-23,7%;14,3;8,0;9;21%
KUKKONEN;FIN;5;34;-24;10;58,6%;-3,9%;5,7;4,0;4;12%
McCABE;USA;29;34;-24;10;58,6%;-3,3%;11,3;8,0;4;12%
HRNKA;SVK;80;15;-25;-10;37,5%;-22,4%;5,0;8,3;2;13%
SJOGREN;SWE;15;52;-25;27;67,5%;15,0%;10,4;5,0;10;19%
BURMISTROV;RUS;96;54;-26;28;67,5%;8,8%;10,8;5,2;11;20%
STONE;CAN;61;97;-26;71;78,9%;14,5%;16,2;4,3;14;14%
DOMI;CAN;16;47;-27;20;63,5%;-0,3%;7,8;4,5;10;21%
FOLIGNO;USA;71;73;-27;46;73,0%;18,8%;14,6;5,4;9;12%
Doudera;CZE;52;53;-28;25;65,4%;8,4%;8,8;4,7;11;21%
LARKIN;USA;21;74;-28;46;72,5%;18,1%;14,8;5,6;19;26%
WALSER;SUI;94;34;-28;6;54,8%;-12,6%;11,3;9,3;8;24%
HOLLENSTEIN;SUI;70;41;-29;12;58,6%;-8,9%;13,7;9,7;9;22%
KALININ;RUS;40;58;-29;29;66,7%;4,8%;11,6;5,8;9;16%
BLUM;SUI;58;65;-30;35;68,4%;0,6%;21,7;10,0;11;17%
du BOIS;SUI;13;52;-30;22;63,4%;-3,7%;17,3;10,0;10;19%
FASCHING;USA;24;32;-30;2;51,6%;-5,8%;8,0;7,5;4;13%
HOFMANN;SUI;15;61;-30;31;67,0%;-3,4%;20,3;10,0;8;13%
CHUDINOV;RUS;73;46;-30;16;60,5%;-2,8%;11,5;7,5;8;17%
PIHLSTROM;FIN;41;66;-30;36;68,8%;1,4%;11,0;5,0;18;27%
SALLINEN;FIN;51;61;-30;31;67,0%;-7,2%;10,2;5,0;12;20%
STASTNY;SVK;59;19;-30;-11;38,8%;-17,0%;3,8;6,0;6;32%
NYGREN;SWE;32;51;-31;20;62,2%;6,5%;12,8;7,8;9;18%
PYORALA;FIN;37;59;-32;27;64,8%;0,4%;9,8;5,3;7;12%
ROSEN;SWE;87;44;-32;12;57,9%;-3,7%;8,8;6,4;8;18%
CEHLARIK;SVK;21;27;-33;-6;45,0%;8,7%;6,8;8,3;6;22%
LYUBIMOV;RUS;23;51;-33;18;60,7%;-0,7%;10,2;6,6;13;25%
OHTAMAA;FIN;55;52;-33;19;61,2%;-5,1%;8,7;5,5;15;29%
ANTIPIN;RUS;9;47;-34;13;58,0%;-2,8%;9,4;6,8;3;6%
HINOSTROZA;USA;48;48;-34;14;58,5%;-1,3%;9,6;6,8;11;23%
KOMAROV;FIN;71;70;-34;36;67,3%;1,5%;11,7;5,7;5;7%
RITOLA;SWE;13;33;-34;-1;49,3%;-0,7%;8,3;8,5;9;27%
SERSEN;SVK;8;35;-34;1;50,7%;-8,2%;8,8;8,5;8;23%
KOSKIRANTA;FIN;40;66;-35;31;65,3%;0,5%;11,0;5,8;10;15%
SUNDSTROM;SWE;28;31;-35;-4;47,0%;-6,6%;7,8;8,8;4;13%
TELEGIN;RUS;7;50;-35;15;58,8%;-2,9%;10,0;7,0;14;28%
FANTENBERG;SWE;6;66;-36;30;64,7%;5,7%;13,2;7,2;17;26%
GEERING;SUI;4;55;-36;19;60,4%;-6,9%;18,3;12,0;12;22%
DIAZ;SUI;16;73;-37;36;66,4%;-2,1%;24,3;12,3;16;22%
JENNER;CAN;38;78;-37;41;67,8%;1,6%;13,0;6,2;24;31%
KLASEN;SWE;86;55;-37;18;59,8%;-6,7%;13,8;9,3;13;24%
KOIVU;FIN;9;82;-37;45;68,9%;1,2%;16,4;7,4;15;18%
ZAITSEV;RUS;22;82;-38;44;68,3%;8,6%;16,4;7,6;19;23%
GALLAGHER;CAN;11;81;-39;42;67,5%;2,0%;13,5;6,5;25;31%
MAROON;USA;19;49;-39;10;55,7%;-1,3%;9,8;7,8;10;20%
WARSOFSKY;USA;55;79;-39;40;66,9%;10,9%;15,8;7,8;16;20%
ERICSSON;SWE;21;62;-41;21;60,2%;3,9%;12,4;8,2;13;21%
MARCHENKO;RUS;53;85;-41;44;67,5%;7,1%;17,0;8,2;17;20%
DUMBA;CAN;14;88;-42;46;67,7%;-0,5%;14,7;7,0;10;11%
O REILLY;CAN;90;73;-42;31;63,5%;-4,4%;12,2;7,0;5;7%
WOOD;USA;28;43;-42;1;50,6%;-10,9%;8,6;8,4;10;23%
JOKINEN;FIN;36;89;-45;44;66,4%;3,0%;14,8;7,5;11;12%
MOTTE;USA;14;41;-45;-4;47,7%;-1,0%;8,2;9,0;14;34%
SANTINI;USA;16;63;-45;18;58,3%;3,3%;12,6;9,0;9;14%
VIEDENSKY;SVK;25;85;-45;40;65,4%;12,4%;17,0;9,0;7;8%
YEMELIN;RUS;74;54;-45;9;54,5%;-5,3%;10,8;9,0;13;24%
DATSYUK;RUS;13;45;-46;-1;49,5%;-9,1%;9,0;9,2;8;18%
MATHESON;CAN;7;93;-46;47;66,9%;1,0%;15,5;7,7;26;28%
SHIPACHYOV;RUS;87;69;-47;22;59,5%;1,8%;13,8;9,4;15;22%
AHO;FIN;20;85;-48;37;63,9%;0,1%;14,2;8,0;15;18%
BACKLUND;SWE;18;71;-48;23;59,7%;2,5%;14,2;9,6;23;32%
CECI;CAN;5;102;-48;54;68,0%;3,2%;17,0;8,0;24;24%
DANO;SVK;56;58;-48;10;54,7%;9,9%;9,7;8,0;14;24%
DUCHENE;CAN;9;74;-48;26;60,7%;-2,0%;12,3;8,0;18;24%
JAROS;SVK;62;21;-48;-27;30,4%;-16,5%;5,3;12,0;7;33%
Kašpar;CZE;22;63;-48;15;56,8%;-2,9%;10,5;8,0;23;37%
PANARIN;RUS;27;67;-48;19;58,3%;-1,9%;13,4;9,6;12;18%
SCHROEDER;USA;10;54;-48;6;52,9%;-3,7%;10,8;9,6;7;13%
Birner;CZE;16;117;-49;68;70,5%;9,6%;19,5;8,2;19;16%
BRASSARD;CAN;19;75;-49;26;60,5%;-3,5%;12,5;8,2;12;16%
HENDRICKS;USA;23;43;-49;-6;46,7%;-6,6%;8,6;9,8;7;16%
HIETANEN;FIN;38;127;-50;77;71,8%;6,4%;21,2;8,3;21;17%
Kovář;CZE;43;117;-50;67;70,1%;9,3%;19,5;8,3;17;15%
VOINOV;RUS;26;58;-50;8;53,7%;-6,0%;11,6;10,0;14;24%
BELOV;RUS;77;67;-51;16;56,8%;-4,2%;13,4;10,2;16;24%
DADONOV;RUS;63;72;-51;21;58,5%;-0,2%;14,4;10,2;9;13%
OMARK;SWE;67;69;-51;18;57,5%;-0,7%;13,8;10,2;12;17%
BARKOV;FIN;61;91;-52;39;63,6%;0,5%;15,2;8,7;12;13%
HALL;CAN;4;84;-53;31;61,3%;-3,4%;14,0;8,8;19;23%
LAINE;FIN;29;82;-53;29;60,7%;-2,8%;13,7;8,8;28;34%
